index	STRING_id
0	9606.ENSP00000281821
1	9606.ENSP00000291598
2	9606.ENSP00000318298
3	9606.ENSP00000365811
4	9606.ENSP00000299824
5	9606.ENSP00000369399
6	9606.ENSP00000252506
7	9606.ENSP00000397773
8	9606.ENSP00000298585
9	9606.ENSP00000364543
10	9606.ENSP00000264424
11	9606.ENSP00000352208
12	9606.ENSP00000221700
13	9606.ENSP00000361076
14	9606.ENSP00000356988
15	9606.ENSP00000221801
16	9606.ENSP00000268679
17	9606.ENSP00000333926
18	9606.ENSP00000265997
19	9606.ENSP00000264828
20	9606.ENSP00000222008
21	9606.ENSP00000390475
22	9606.ENSP00000169298
23	9606.ENSP00000348129
24	9606.ENSP00000386655
25	9606.ENSP00000249389
26	9606.ENSP00000243108
27	9606.ENSP00000347684
28	9606.ENSP00000314132
29	9606.ENSP00000233535
30	9606.ENSP00000359446
31	9606.ENSP00000349689
32	9606.ENSP00000367934
33	9606.ENSP00000394494
34	9606.ENSP00000329991
35	9606.ENSP00000467123
36	9606.ENSP00000324122
37	9606.ENSP00000252675
38	9606.ENSP00000370104
39	9606.ENSP00000262460
40	9606.ENSP00000352295
41	9606.ENSP00000317905
42	9606.ENSP00000225504
43	9606.ENSP00000369757
44	9606.ENSP00000289228
45	9606.ENSP00000262450
46	9606.ENSP00000308450
47	9606.ENSP00000303468
48	9606.ENSP00000380793
49	9606.ENSP00000362946
50	9606.ENSP00000395249
51	9606.ENSP00000380552
52	9606.ENSP00000219409
53	9606.ENSP00000309117
54	9606.ENSP00000357167
55	9606.ENSP00000233143
56	9606.ENSP00000283875
57	9606.ENSP00000307259
58	9606.ENSP00000234396
59	9606.ENSP00000219476
60	9606.ENSP00000301146
61	9606.ENSP00000444052
62	9606.ENSP00000308717
63	9606.ENSP00000261479
64	9606.ENSP00000306682
65	9606.ENSP00000302716
66	9606.ENSP00000265224
67	9606.ENSP00000415635
68	9606.ENSP00000354837
69	9606.ENSP00000315167
70	9606.ENSP00000231004
71	9606.ENSP00000264313
72	9606.ENSP00000306524
73	9606.ENSP00000357708
74	9606.ENSP00000250378
75	9606.ENSP00000255977
76	9606.ENSP00000296027
77	9606.ENSP00000345494
78	9606.ENSP00000252542
79	9606.ENSP00000269349
80	9606.ENSP00000263774
81	9606.ENSP00000354476
82	9606.ENSP00000375820
83	9606.ENSP00000350934
84	9606.ENSP00000348554
85	9606.ENSP00000363794
86	9606.ENSP00000269394
87	9606.ENSP00000359976
88	9606.ENSP00000377040
89	9606.ENSP00000364212
90	9606.ENSP00000346032
91	9606.ENSP00000308815
92	9606.ENSP00000268379
93	9606.ENSP00000427015
94	9606.ENSP00000459566
95	9606.ENSP00000265192
96	9606.ENSP00000364709
97	9606.ENSP00000367649
98	9606.ENSP00000263409
99	9606.ENSP00000390427
100	9606.ENSP00000363911
101	9606.ENSP00000254661
102	9606.ENSP00000377311
103	9606.ENSP00000358301
104	9606.ENSP00000227758
105	9606.ENSP00000297161
106	9606.ENSP00000301286
107	9606.ENSP00000350102
108	9606.ENSP00000451235
109	9606.ENSP00000351113
110	9606.ENSP00000307046
111	9606.ENSP00000312081
112	9606.ENSP00000441047
113	9606.ENSP00000361914
114	9606.ENSP00000333667
115	9606.ENSP00000353820
116	9606.ENSP00000366522
117	9606.ENSP00000315047
118	9606.ENSP00000258975
119	9606.ENSP00000263697
120	9606.ENSP00000307519
121	9606.ENSP00000316042
122	9606.ENSP00000272928
123	9606.ENSP00000414378
124	9606.ENSP00000333799
125	9606.ENSP00000276654
126	9606.ENSP00000235372
127	9606.ENSP00000248058
128	9606.ENSP00000366396
129	9606.ENSP00000342510
130	9606.ENSP00000229329
131	9606.ENSP00000341524
132	9606.ENSP00000283033
133	9606.ENSP00000341280
134	9606.ENSP00000353538
135	9606.ENSP00000429243
136	9606.ENSP00000320488
137	9606.ENSP00000274721
138	9606.ENSP00000278193
139	9606.ENSP00000259396
140	9606.ENSP00000269740
141	9606.ENSP00000258646
142	9606.ENSP00000258080
143	9606.ENSP00000387641
144	9606.ENSP00000416240
145	9606.ENSP00000308741
146	9606.ENSP00000346196
147	9606.ENSP00000357643
148	9606.ENSP00000358747
149	9606.ENSP00000355966
150	9606.ENSP00000350387
151	9606.ENSP00000357153
152	9606.ENSP00000341108
153	9606.ENSP00000374332
154	9606.ENSP00000261377
155	9606.ENSP00000357152
156	9606.ENSP00000325863
157	9606.ENSP00000265560
158	9606.ENSP00000356087
159	9606.ENSP00000298556
160	9606.ENSP00000378181
161	9606.ENSP00000377696
162	9606.ENSP00000380178
163	9606.ENSP00000350876
164	9606.ENSP00000348395
165	9606.ENSP00000306138
166	9606.ENSP00000287706
167	9606.ENSP00000301729
168	9606.ENSP00000374353
169	9606.ENSP00000250124
170	9606.ENSP00000326708
171	9606.ENSP00000372191
172	9606.ENSP00000415836
173	9606.ENSP00000233615
174	9606.ENSP00000309771
175	9606.ENSP00000295756
176	9606.ENSP00000339428
177	9606.ENSP00000361021
178	9606.ENSP00000243253
179	9606.ENSP00000327824
180	9606.ENSP00000409612
181	9606.ENSP00000437563
182	9606.ENSP00000381293
183	9606.ENSP00000313021
184	9606.ENSP00000301293
185	9606.ENSP00000346148
186	9606.ENSP00000370639
187	9606.ENSP00000347754
188	9606.ENSP00000261170
189	9606.ENSP00000254108
190	9606.ENSP00000306124
191	9606.ENSP00000463533
192	9606.ENSP00000346659
193	9606.ENSP00000309548
194	9606.ENSP00000380237
195	9606.ENSP00000216862
196	9606.ENSP00000378451
197	9606.ENSP00000295755
198	9606.ENSP00000362744
199	9606.ENSP00000393154
200	9606.ENSP00000253408
201	9606.ENSP00000331897
202	9606.ENSP00000358042
203	9606.ENSP00000274507
204	9606.ENSP00000416293
205	9606.ENSP00000385995
206	9606.ENSP00000286479
207	9606.ENSP00000368109
208	9606.ENSP00000332124
209	9606.ENSP00000347329
210	9606.ENSP00000264639
211	9606.ENSP00000260443
212	9606.ENSP00000366307
213	9606.ENSP00000343581
214	9606.ENSP00000298386
215	9606.ENSP00000339844
216	9606.ENSP00000412324
217	9606.ENSP00000369731
218	9606.ENSP00000344791
219	9606.ENSP00000355736
220	9606.ENSP00000294119
221	9606.ENSP00000388902
222	9606.ENSP00000357297
223	9606.ENSP00000216294
224	9606.ENSP00000282441
225	9606.ENSP00000432816
226	9606.ENSP00000320251
227	9606.ENSP00000292779
228	9606.ENSP00000417281
229	9606.ENSP00000320247
230	9606.ENSP00000216277
231	9606.ENSP00000263985
232	9606.ENSP00000345848
233	9606.ENSP00000347498
234	9606.ENSP00000267291
235	9606.ENSP00000427514
236	9606.ENSP00000347134
237	9606.ENSP00000385479
238	9606.ENSP00000438468
239	9606.ENSP00000383737
240	9606.ENSP00000262096
241	9606.ENSP00000257909
242	9606.ENSP00000225519
243	9606.ENSP00000240618
244	9606.ENSP00000281708
245	9606.ENSP00000355865
246	9606.ENSP00000215904
247	9606.ENSP00000356652
248	9606.ENSP00000271324
249	9606.ENSP00000301454
250	9606.ENSP00000263346
251	9606.ENSP00000265433
252	9606.ENSP00000303211
253	9606.ENSP00000433712
254	9606.ENSP00000349874
255	9606.ENSP00000261866
256	9606.ENSP00000367756
257	9606.ENSP00000216297
258	9606.ENSP00000268695
259	9606.ENSP00000306579
260	9606.ENSP00000330694
261	9606.ENSP00000345096
262	9606.ENSP00000231572
263	9606.ENSP00000370083
264	9606.ENSP00000369689
265	9606.ENSP00000378699
266	9606.ENSP00000341490
267	9606.ENSP00000058691
268	9606.ENSP00000255992
269	9606.ENSP00000384290
270	9606.ENSP00000341483
271	9606.ENSP00000291526
272	9606.ENSP00000367991
273	9606.ENSP00000011691
274	9606.ENSP00000323455
275	9606.ENSP00000264932
276	9606.ENSP00000351755
277	9606.ENSP00000279387
278	9606.ENSP00000364073
279	9606.ENSP00000334134
280	9606.ENSP00000248923
281	9606.ENSP00000252951
282	9606.ENSP00000273482
283	9606.ENSP00000357341
284	9606.ENSP00000441024
285	9606.ENSP00000290354
286	9606.ENSP00000349547
287	9606.ENSP00000346255
288	9606.ENSP00000218032
289	9606.ENSP00000358099
290	9606.ENSP00000262768
291	9606.ENSP00000259818
292	9606.ENSP00000294638
293	9606.ENSP00000364777
294	9606.ENSP00000310596
295	9606.ENSP00000252799
296	9606.ENSP00000313070
297	9606.ENSP00000414208
298	9606.ENSP00000226091
299	9606.ENSP00000384675
300	9606.ENSP00000360076
301	9606.ENSP00000270001
302	9606.ENSP00000300055
303	9606.ENSP00000264389
304	9606.ENSP00000361666
305	9606.ENSP00000266719
306	9606.ENSP00000274643
307	9606.ENSP00000346575
308	9606.ENSP00000267294
309	9606.ENSP00000398277
310	9606.ENSP00000424598
311	9606.ENSP00000386222
312	9606.ENSP00000262626
313	9606.ENSP00000300738
314	9606.ENSP00000385939
315	9606.ENSP00000331746
316	9606.ENSP00000362820
